,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-539,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,ME:MDA-N,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H23,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10
BR:MCF7,0.0,738.4632935644125,721.7702863072158,885.1969569463057,781.9703026183282,779.8812618751653,709.8763996246108,824.3630882214464,745.5230878269297,945.1516311497326,838.8641905129821,802.9125157275853,821.163018599839,845.6955548192268,841.482259568198,821.560396051319,889.9505192009273,872.8274847013009,874.4256734354266,890.9178509593354,916.5976676208599,945.9133305239968,847.516034715568,967.5990042052547,883.093691864006,894.7668719202783,848.4086615523208,808.0731709820592,904.4986453770949,820.4623250564283,874.2564434363637,836.3586230923905,746.3534318973819,766.3467995816254,618.2386161370057,659.336711813471,720.2587219145631,789.8508409028882,774.7254667958191,784.0280398359484,800.0924929775306,786.5835519383812,793.9369201000795,763.197284131698,761.6977433851304,719.5529916420332,760.5867207130295,730.0602404034888,798.2442465837134,722.9155768974688,673.6106789147569,756.5330787440826,746.2385166392846,722.5186742860006,726.9587751158932,681.8783975424062,716.7037641571304,727.2980014945729
BR:MDA-MB-231,738.4632935644125,0.0,717.4663541546739,990.5263205806297,817.8103313489016,789.2177210871534,758.5693028418694,738.6811113707998,765.1435707702183,1064.153478652868,976.2402735459133,943.6786296372301,984.4269089069031,999.8234463218997,959.2048196219616,951.1503071123932,997.2133347644326,989.8828369711237,967.4009238950523,1005.2516885626205,1001.0560425810338,1057.008692792543,908.2895474902263,1034.5524706910714,924.9197384184208,961.5385017314698,882.6004485796507,864.8587728311483,954.1239038830334,821.518117557367,925.6374568177326,885.928184927537,813.5356759128637,825.1548299410239,723.7555126622526,777.5489947797503,767.5102763168713,874.4531347802466,876.4893510602396,856.2745515504942,881.5838137369583,857.5721461428187,864.3491274733841,838.4519086829015,874.6372220686702,811.2298887966344,850.3816590008273,791.3455149831836,869.3725673564816,853.9284937247378,752.391974482716,800.9403236059476,805.3593346885599,781.2631408046846,723.9031829796025,780.8633136080857,828.5408232012467,774.3491525403766
BR:HS 578T,721.7702863072158,717.4663541546739,0.0,917.482700815116,789.2355782280723,791.1340706302565,739.0627776434152,770.2503964387166,731.3071060566826,1006.7088467511347,904.2161162205634,875.058566438841,889.8473054193063,923.3092062332097,903.8835148314189,882.7992912944595,929.924259223298,926.4240549791441,915.2415384722221,917.9329301501278,950.1120343927869,980.7003808233173,869.0011946666127,1006.0678155397873,899.1391449047248,937.5945147706444,873.0254391224806,836.4488872292198,931.5801309157468,825.0863973821165,902.9217911735211,854.3859729928856,785.2757946129497,793.8506822791047,715.101201333769,746.3743794993233,734.7154390673984,793.7461783498552,834.8450802550135,814.5996992369934,846.9030402726157,824.2589943203532,806.0309645975146,804.8283289310835,840.3393941295384,750.1091385625161,807.2241166956053,764.800240168634,813.1014839870852,789.7898987167407,732.5101191860765,787.3176441170361,804.2521217901761,741.4203275349281,736.632911222408,755.7641565151129,774.1000364132532,779.7116701037635
BR:BT-549,885.1969569463057,990.5263205806297,917.482700815116,0.0,943.5495632959615,935.4185557957462,913.3734830719576,953.5530640457301,901.1673834255214,951.9657280049528,845.0477559227049,845.9095217108031,817.1524121147777,865.3403305682684,876.1797325897238,855.8367188658128,980.1715794293362,981.6506683138355,969.7217104179941,976.3964174417068,986.9175225949733,1025.7393076771502,993.5762499008316,1015.4277869459748,979.1870557564579,996.9409651544067,960.7278439422892,891.508990582821,968.2843962380059,938.6274832115241,976.5881370275805,949.0238761769906,881.1018364105252,860.8037159922112,870.3062368603364,901.889247326965,936.8130627926793,852.9121460853985,825.3563977210084,895.7158233636379,911.1754704292691,909.9322138296899,870.777413953187,865.2673847008219,910.9296358440644,901.9409165837861,901.8937337037,891.8495519116439,934.0123815276756,857.4220689310487,907.8302136770949,928.6313157658424,936.1097051238173,913.1819168659661,958.1378457116698,907.1772053154773,904.788256190364,935.5327848531016
BR:T-47D,781.9703026183282,817.8103313489016,789.2355782280723,943.5495632959615,0.0,798.4876229529173,771.3429798909174,781.9105403465284,831.3842729688839,1047.0427242897017,934.0792646365719,857.9233095661873,868.2284641941886,960.2525727171992,963.7407147345181,912.5260505317093,1010.6671845088272,1020.6559677124317,1052.8508306716578,996.1231896131122,1029.0655360077901,953.4219768308259,838.8614972121441,950.225861371916,883.5073332910148,899.0036907293544,896.9093327756154,841.7962572154858,907.3329893616786,875.180316336011,893.4814795545568,901.1931442804033,901.4161626374358,850.0373878412641,764.020081459905,860.2110580735404,804.8246436131292,843.3609736002726,901.3106936173563,891.8904681551428,927.3063960471745,951.0360644008196,903.1241943071839,899.0338165425147,880.5921024271115,787.6841977861432,836.1637233951255,863.3473443527812,830.6363408598253,863.5538800132855,786.1354370215099,875.0595391143393,879.6122728571944,838.4951840571298,854.1480905375836,796.5602058965789,835.0493484471441,813.2471756120643
CNS:SF-268,779.8812618751653,789.2177210871534,791.1340706302565,935.4185557957462,798.4876229529173,0.0,743.0108124543007,770.6214821376312,723.1848941100749,910.3682465887086,868.6515282062194,866.1855344763038,920.7720985911767,935.9023839412957,864.3639151248738,901.4049337950174,986.3446037800377,946.4385758304655,942.5475550172521,975.1035548473815,962.8947787759575,982.2154737403598,787.0203627098856,957.636761594395,912.4017349073818,919.812348053667,869.4981615546982,836.9413743130402,938.5963711462985,811.4444523188264,882.3703580617383,862.762666634921,814.7123612545719,809.0627656201958,711.1415883134665,798.2169851431373,785.2484602302638,840.9604540731987,860.8096068864475,839.7717454671835,920.4032524839317,892.1115791166484,843.67872883462,890.9571931647444,906.5897974530708,876.0260009354746,886.9250079747444,837.383538776587,823.2707634587784,865.3138201144138,782.8208509601669,789.2071975812182,853.6957930328578,751.6114031452693,833.894312342997,823.3714602966269,858.5249568539052,853.0086878244557
CNS:SF-539,709.8763996246108,758.5693028418694,739.0627776434152,913.3734830719576,771.3429798909174,743.0108124543007,0.0,725.497006200577,561.9249203701506,980.2324938222564,889.658638732295,849.5818212968071,869.2204548479057,913.7263863734045,877.1851008048413,850.3382146969523,896.6366537310416,910.0119870309401,921.3310698891034,889.8047976348522,933.7231668594284,962.4590868535659,877.1895939385051,955.3638502806143,858.2013664892409,888.6088458405083,838.8137354889941,803.5094158583333,882.3085898318116,774.9763076836607,855.7820004802627,838.1323220786797,756.1805527445149,780.7606304348343,677.999254122746,742.5244658723375,772.9715296128311,797.138538925951,796.0804743340966,768.1165648213815,811.4129480782273,794.3193577522836,778.153941009104,775.9740371777914,816.7826396159508,773.3540172346685,777.2470500201335,769.0704691483089,826.4560595700174,786.9434029198035,709.3672357488749,751.483719349927,800.4405378602456,757.8593729446117,755.9016882769876,749.2233468672742,778.5254887677089,775.280064101999
CNS:SNB-19,824.3630882214464,738.6811113707998,770.2503964387166,953.5530640457301,781.9105403465284,770.6214821376312,725.497006200577,0.0,759.0663813692448,1052.4277818819685,955.6556768831543,913.4912221034199,939.1316015979871,983.2678223764876,963.5660212637223,926.3890929323379,1003.5944143278198,1013.9283990992659,1032.7515627366533,998.3604794111192,1019.2933814795423,1002.2677484639519,905.0029851597178,924.4958803872518,842.1068189416352,907.0404377303142,856.5587721300857,848.2741699338724,891.4452402514694,806.5713404659256,874.1563354709501,865.4269924037496,882.3389451242647,834.736330318143,789.4697916418336,810.5512081201284,821.8191817535047,855.9926117444004,903.6183561891603,862.4623233434604,919.6717067622554,917.3321154325733,888.2181144775197,875.9863650868087,884.456371766296,864.339391453959,871.6957595795683,869.2821557906273,876.9999767400222,890.1605504396381,809.9994927047795,824.933115302083,885.0357375078137,831.8406783657554,793.7752928203295,860.4208061599858,865.2536482806647,844.0944869171935
CNS:SNB-75,745.5230878269297,765.1435707702183,731.3071060566826,901.1673834255214,831.3842729688839,723.1848941100749,561.9249203701506,759.0663813692448,0.0,933.8924411076472,881.9168513516453,866.4524393577526,906.1172218499106,925.4048900259821,833.9863079277741,851.7062708804017,907.470782092184,902.1309982918227,851.8136267470717,898.3145834945576,917.4627911490471,1003.8058506872729,872.8439080184957,992.3237040069133,910.1893552052782,920.3018687664389,844.8519449098759,820.2894764228053,919.366661615484,772.6503118228842,893.6508189852455,835.1911145875536,706.5507594249689,752.8826746884272,690.9378782017961,730.0711834951437,740.7789503617121,812.3309459549106,767.750682154695,756.2560006717301,827.9524799528048,773.5489948277357,754.1416359060145,791.4175245652576,838.6129907621273,808.0749332283483,833.8344425112218,739.5270809192858,833.6314661557589,786.1372749819205,748.8786201842059,761.1852095626925,780.661555595637,739.4430793746061,753.3487760665704,780.0017641621076,817.4342435486784,804.2785813553661
CNS:U251,945.1516311497326,1064.153478652868,1006.7088467511347,951.9657280049528,1047.0427242897017,910.3682465887086,980.2324938222564,1052.4277818819685,933.8924411076472,0.0,777.299266677899,912.7765680718364,910.2260028800537,872.958251575641,739.0050408589915,875.9612721422105,1047.8982609638208,977.7006256042793,989.0313019495389,1045.8056408534999,1003.2799618825246,1085.9929454080263,949.9560870971877,1068.4939546258558,1085.3462772981716,1073.8168163392672,1010.1749809938871,978.303216384368,1068.144732103286,1001.0285399987355,1034.0645959295769,998.159045589429,925.7549058438741,923.6252016223895,927.995071526784,978.2113150357648,984.6653395083022,966.934289772578,890.9284959080611,968.3440457027658,1053.5904823516582,981.3660919213585,919.4567880390028,983.8970048988868,996.1423144987867,1037.6834513877536,1027.6223173160458,991.4051901019079,966.8102806295552,977.4977498531649,973.9812614598906,981.7041294682426,1016.3170573757974,923.1145313800452,1042.599670910652,1007.9758260186602,990.3563525378125,1032.9398702117176
CO:COLO 205,838.8641905129821,976.2402735459133,904.2161162205634,845.0477559227049,934.0792646365719,868.6515282062194,889.658638732295,955.6556768831543,881.9168513516453,777.299266677899,0.0,743.9850647405499,699.9126271778501,702.9702919412738,708.284201119155,745.8114926796178,951.840807269262,903.9425759609952,919.025411250418,950.3088213401996,930.2503684734556,951.5783784428899,912.6887213617796,980.7350779563253,944.0560429693784,967.1671624186795,911.8747963673521,859.4692943636787,939.1790911130846,908.2405494162876,928.2341096366802,903.3222115790136,823.1750616995148,824.5457842667076,824.1198949000079,870.6603691394251,899.9538597233752,830.0668804259092,788.5267192689164,830.9906451134092,912.4121424597549,861.215206156394,835.593588639238,838.6146762291967,844.1429129768255,891.5738289126706,871.2569369376638,882.9764376273016,860.9116579841393,837.3957353163439,851.5166999202073,865.9051411944612,896.7052066543386,863.1812366189384,924.559371729582,888.1163694561652,848.6576121251728,897.4420648871993
CO:HCC-2998,802.9125157275853,943.6786296372301,875.058566438841,845.9095217108031,857.9233095661873,866.1855344763038,849.5818212968071,913.4912221034199,866.4524393577526,912.7765680718364,743.9850647405499,0.0,676.6455077971034,775.2715245892887,798.389029398576,737.4497178709879,942.0894011461967,920.6404388326638,943.6351156919711,929.570150988079,950.6580202154718,909.0571422715956,886.1692089776083,942.4230438476128,892.5479975205816,922.3454649359967,890.6481864917257,814.0808291680869,903.649287142418,881.6992833415488,887.6092990409685,882.6751013555325,817.2885053131481,798.5481745524185,793.1242227665223,836.1107449453093,881.7429231629818,761.1603466859004,806.3507876526197,823.2384214351275,885.0958784860541,855.0929359221722,852.1946440866661,851.7215899177382,784.0668839403945,814.5425474958322,815.9050200011029,853.8160781772618,820.4908746439537,784.6957519096175,816.2646567994965,867.9204430211333,878.760808728974,852.816594312048,909.7077920640229,846.4348686254601,798.0041968655302,857.6359144975213
CO:HCT-116,821.163018599839,984.4269089069031,889.8473054193063,817.1524121147777,868.2284641941886,920.7720985911767,869.2204548479057,939.1316015979871,906.1172218499106,910.2260028800537,699.9126271778501,676.6455077971034,0.0,720.2733470391639,790.2837450144095,716.5022753753125,920.885549553255,913.3081254034697,958.3536848643093,908.8834628234796,944.5840210071307,904.7034078586198,948.6678177960924,954.2979124303896,896.4565643989674,949.7262884136671,914.1430051042342,849.4166815980248,906.5869163025685,913.7492346595972,914.1119418506687,907.921759465539,849.3626089091747,829.1232276103472,823.5673816701341,880.3553783961341,916.1134276343734,794.7271276123647,810.8015140279402,837.7677584133927,883.9746237585106,865.8867641926398,855.183724572679,828.1003529742032,806.8014350483021,829.616472252691,810.5328781961902,886.2762830765585,870.7905511901239,799.7367691865868,821.8076390238776,888.1832270066799,898.4141411954732,887.5652887726062,922.6466851520139,862.2078648092929,810.7318896275144,873.8026639922771
CO:HCT-15,845.6955548192268,999.8234463218997,923.3092062332097,865.3403305682684,960.2525727171992,935.9023839412957,913.7263863734045,983.2678223764876,925.4048900259821,872.958251575641,702.9702919412738,775.2715245892887,720.2733470391639,0.0,785.916334756442,761.1107203745064,962.8694093795897,941.8268726857395,972.1409047015767,959.2468268964984,954.8317498056919,965.5193142169655,976.3616910505041,1031.1747464431037,952.0084717044276,1004.269579840493,954.9884887892626,908.955590471834,966.593075507993,961.255005610894,961.8403902940448,943.9409873482559,861.8040834087527,863.0690838165852,838.8955080211122,877.194414276562,920.8110675893292,863.1553571495689,806.7483758428027,876.2778496835347,942.8253741123009,886.1159827612863,882.630378445587,842.1434485555296,792.905095662148,895.8095717093001,864.7637189729919,909.7038558954227,905.8545408899818,853.5633397786012,857.5553879715291,889.4153699948074,906.5013418164367,891.4174797607459,903.6159251391047,900.168439292336,842.4215013542803,881.2797079321638
CO:HT29,841.482259568198,959.2048196219616,903.8835148314189,876.1797325897238,963.7407147345181,864.3639151248738,877.1851008048413,963.5660212637223,833.9863079277741,739.0050408589915,708.284201119155,798.389029398576,790.2837450144095,785.916334756442,0.0,780.5343617496928,951.1015047964125,902.5116630492929,900.6024011377052,954.8090616725418,928.5812386991242,1012.8003242974402,917.5950132438602,1020.4237362003099,994.0241953674971,998.6881269135027,921.947903334565,881.4947646963087,983.5386138159499,907.0380918489589,950.6537967725158,913.3523734194816,812.4656821398675,842.6743533506877,820.2337596886631,867.1785780766264,900.8396135206309,876.7752900880591,792.4758195781118,856.628670716198,928.9275884960032,829.8759364025447,825.8120147212679,857.0397725310071,868.6218035980907,911.3834613394079,898.8577208685476,860.3289593138197,883.4736693054301,854.5721050426345,868.2884918620076,892.6783451781499,896.2113129647497,848.8295039335048,924.968938131438,897.9454720711054,878.7544452183446,915.8433612654513
CO:KM12,821.560396051319,951.1503071123932,882.7992912944595,855.8367188658128,912.5260505317093,901.4049337950174,850.3382146969523,926.3890929323379,851.7062708804017,875.9612721422105,745.8114926796178,737.4497178709879,716.5022753753125,761.1107203745064,780.5343617496928,0.0,876.9297943450202,869.3626657419792,890.7362715085762,874.090134534191,908.3376281504582,944.8816414964365,953.9426652414705,985.2078871816854,897.0775952491512,957.9619522820311,892.7275739154694,838.6751840796289,909.026286218941,888.4325859641799,908.1474736418089,881.1791201140662,800.0809171908799,830.4617795678498,800.4863152353074,840.7444905790345,913.1903796536621,819.9653046678256,817.8900818410747,814.5650415117262,861.9547263336979,831.0247172629706,852.3192185267206,828.4108573974629,796.5303451218917,836.1156768001662,848.4217308243583,837.2065097847723,891.1079878050693,808.9127506023132,839.4812396438648,870.3341448305933,870.271615740741,880.653757414343,893.9614290560866,860.4116371615391,833.1913839646926,867.7288158313056
CO:SW-620,889.9505192009273,997.2133347644326,929.924259223298,980.1715794293362,1010.6671845088272,986.3446037800377,896.6366537310416,1003.5944143278198,907.470782092184,1047.8982609638208,951.840807269262,942.0894011461967,920.885549553255,962.8694093795897,951.1015047964125,876.9297943450202,0.0,749.8689241087403,835.4532112937264,574.0973851394903,877.1638858776621,949.3175442827335,1032.1133023268326,1091.0899351451285,1005.1200121806351,1041.8710747544533,973.68873939622,941.5389672281228,993.979809346749,954.882121945426,1003.7633630961035,954.6358537740974,893.0576753373771,952.2217320146603,890.3310189704728,899.5185664893193,984.373385804391,876.6227061952021,922.1252093311406,893.2824479071554,900.6746159301927,894.1146966972414,936.1794675819378,931.4548912405797,944.6576662929274,903.3900174094242,944.0521284542499,888.4956461491525,1016.2393151733503,906.3060541864432,921.5761594702847,971.8107943246978,957.1215420133432,973.3759075362408,951.3415220266589,904.3114034639837,939.5489941599639,971.7821834094306
LE:CCRF-CEM,872.8274847013009,989.8828369711237,926.4240549791441,981.6506683138355,1020.6559677124317,946.4385758304655,910.0119870309401,1013.9283990992659,902.1309982918227,977.7006256042793,903.9425759609952,920.6404388326638,913.3081254034697,941.8268726857395,902.5116630492929,869.3626657419792,749.8689241087403,0.0,788.3759821018145,765.9018816584797,836.1398396799427,949.629481965993,984.0677901089944,1074.6245758966243,1002.6654437557924,1027.6186966905573,949.7340425577047,917.9809309724251,987.988356010839,936.1844496374636,978.6423591169555,934.4680383389257,887.4480596840584,946.4092368785293,868.8857393058078,904.0059649587497,974.5846451232443,896.514577768259,940.0974066286959,878.4915730608916,910.8494616504969,883.0291718556077,914.0915049337236,932.0474845746863,960.8070686396933,919.6866927606378,976.6034724149818,887.5642374025668,1000.9751797851934,913.7745694223495,904.3980751295308,957.5411362557749,942.5721656000668,934.0170372739462,955.4532542871995,909.2376947690852,929.6673836803142,967.2524750798007
